WARNING:pip_audit._cli:--no-deps is supported, but users are encouraged to fully hash their pinned dependencies
WARNING:pip_audit._cli:Consider using a tool like `pip-compile`: https://pip-tools.readthedocs.io/en/latest/#using-hashes
Found 428 known vulnerabilities in 49 packages
Name             Version ID                  Fix Versions
---------------- ------- ------------------- ------------
pypdf            6.5.0   PYSEC-2026-3020     6.12.2
pypdf            6.5.0   PYSEC-2026-3025     6.12.1
pypdf            6.5.0   PYSEC-2026-3010     6.12.2
pypdf            6.5.0   PYSEC-2026-3022     6.13.0
pypdf            6.5.0   PYSEC-2026-3009     6.13.0
pypdf            6.5.0   PYSEC-2026-1829     6.6.0
pypdf            6.5.0   PYSEC-2026-1827     6.6.2
pypdf            6.5.0   PYSEC-2026-1828     6.6.0
pypdf            6.5.0   PYSEC-2026-3018     6.13.1
pypdf            6.5.0   PYSEC-2026-3023     6.9.1
pypdf            6.5.0   PYSEC-2026-3022     6.13.0
pypdf            6.5.0   PYSEC-2026-3017     6.7.4
pypdf            6.5.0   PYSEC-2026-3019     6.8.0
pypdf            6.5.0   PYSEC-2026-3020     6.12.2
pypdf            6.5.0   PYSEC-2026-3018     6.13.1
pypdf            6.5.0   PYSEC-2026-3021     6.10.1
pypdf            6.5.0   PYSEC-2026-3011     6.10.2
pypdf            6.5.0   PYSEC-2026-3007     6.10.2
pypdf            6.5.0   PYSEC-2026-3004     6.12.0
pypdf            6.5.0   PYSEC-2026-3005     6.7.2
pypdf            6.5.0   PYSEC-2026-3006     6.10.0
pypdf            6.5.0   PYSEC-2026-3014     6.7.5
pypdf            6.5.0   PYSEC-2026-3024     6.7.1
pypdf            6.5.0   PYSEC-2026-3026     6.10.2
pypdf            6.5.0   PYSEC-2026-3016     6.12.0
pypdf            6.5.0   PYSEC-2026-3010     6.12.2
pypdf            6.5.0   PYSEC-2026-3015     6.7.1
pypdf            6.5.0   PYSEC-2026-3013     6.7.1
pypdf            6.5.0   PYSEC-2026-3009     6.13.0
pypdf            6.5.0   PYSEC-2026-3025     6.12.1
pypdf            6.5.0   PYSEC-2026-3012     6.9.2
pypdf            6.5.0   PYSEC-2026-3027     6.7.3
pypdf            6.5.0   PYSEC-2026-3611     6.14.0
pypdf            6.5.0   PYSEC-2026-3610     6.14.0
pypdf            6.5.0   PYSEC-2026-3613     6.14.2
pypdf            6.5.0   PYSEC-2026-3612     6.14.1
pypdf            6.5.0   PYSEC-2026-3613     6.14.2
pypdf            6.5.0   PYSEC-2026-3610     6.14.0
pypdf            6.5.0   PYSEC-2026-3612     6.14.1
pypdf            6.5.0   PYSEC-2026-3611     6.14.0
pypdf            6.5.0   PYSEC-2026-3656     6.15.0
pypdf            6.5.0   PYSEC-2026-3655     6.15.0
pypdf            6.5.0   PYSEC-2026-3655     6.15.0
pypdf            6.5.0   PYSEC-2026-3656     6.15.0
pypdf            6.5.0   PYSEC-2026-3912     6.15.0
pypdf            6.5.0   PYSEC-2026-3910     6.16.1
pypdf            6.5.0   PYSEC-2026-3911     6.16.1
pypdf            6.5.0   PYSEC-2026-3913     6.16.0
pypdf            6.5.0   CVE-2026-57204      6.13.3
pytest           8.3.4   PYSEC-2026-1845     9.0.3
pytest           8.3.4   PYSEC-2026-1845     9.0.3
python-engineio  4.13.0  PYSEC-2026-3032     4.13.2
python-engineio  4.13.0  PYSEC-2026-3033     4.13.2
python-engineio  4.13.0  PYSEC-2026-3033     4.13.2
python-engineio  4.13.0  PYSEC-2026-3032     4.13.2
python-multipart 0.0.20  PYSEC-2026-1852     0.0.22
python-multipart 0.0.20  PYSEC-2026-3038     0.0.26
python-multipart 0.0.20  PYSEC-2026-3039     0.0.27
python-multipart 0.0.20  PYSEC-2026-3040     0.0.31
python-multipart 0.0.20  PYSEC-2026-3036     0.0.30
python-multipart 0.0.20  PYSEC-2026-3037     0.0.30
python-multipart 0.0.20  PYSEC-2026-1852     0.0.22
python-multipart 0.0.20  PYSEC-2026-3038     0.0.26
